导演,柯政铭,6.58,5.550000000000001,
编剧1,饶俊,6.7,5.179999999999999,
演员1,毛晓彤,7.900000000000001,4.4799999999999995,
演员2,披拉・尼迪裴善官,7.74,4.84,
演员3,张雨剑,8.1,4.35,
演员4,陈欣予,7.0200000000000005,4.3999999999999995,
演员5,方逸伦,3.15,3.15,
演员6,盛朗熙,,,
演员7,闫肃,/celebrity/1368442/
演员8,黄建群,/celebrity/1373128/
演员9,潘虹,/celebrity/1043330/
演员10,苑琼丹,/celebrity/1274445/
演员11,田雨,/celebrity/1316331/
演员12,蒋恺,/celebrity/1275880/
演员13,许榕真,/celebrity/1316750/
演员14,杨雪,/celebrity/1315835/
总评价数,2250
评价1,2.5%
评价2,1.7%
评价3,14.2%
评价4,22.9%
评价5,58.8%
标签1,剧情
标签2,爱情
播出时间,2017-09-11(中国大陆)
